Startup;Fonds;Titel;Vorname;Nachname;Geschlecht;Land
011h;Redalpine Capital S.C.S., SICAR VI;"";"";"";"";""
011h;"";;Alex;Valls;"";Spanien
011h;"";;Jose Manuel;Villanueva;"";Spanien
011h;"";;Jose;Ojeda;"";Spanien
011h;"";;Josep;Barberà;"";Spanien
011h;"";;Juan;Velayos;"";Spanien
011h;"";;Lucas;Carne;"";Spanien
1UP Ventures L.P.;BITKRAFT Ventures Fund II, L.P.;"";"";"";"";""
36Zero Vision;Join Capital Fund II GmbH & Co KG;"";"";"";"";""
36Zero Vision;"";;Florian;Ziesche;"";Deutschland
36Zero Vision;"";;Zeeshan;Karamat;"";Deutschland
555 Comic Co;BITKRAFT Ventures Fund II, L.P.;"";"";"";"";""
555 Comic Co;"";;Ben;Watanabe;"";Vereinigte Staaten von Amerika (USA)
57hours;Nordic Eye II SCSp;"";"";"";"";""
57hours;"";;Viktor;Marohnic;"";Vereinigte Staaten von Amerika (USA)
9fin Limited;Redalpine Capital S.C.S., SICAR VI;"";"";"";"";""
9fin Limited;"";;Steven;Hunter;"";Groß-Britanien (UK)
9fin Limited;"";;Huss;El-Sheikh;"";Groß-Britanien (UK)
ADG Technology Inc. (Carry1st);BITKRAFT Ventures Opportunity Fund I, L.P;"";"";"";"";""
ADG Technology Inc. (Carry1st);"";;Cordel;Robbin-Coker;"";Südafrika
ADG Technology Inc. (Carry1st);"";;Lucy;Hoffman;"";Südafrika
ADG Technology Inc. (Carry1st);"";;Tinotenda;Mundangepfupfu;"";Südafrika
AI Music;Alpha Intelligence Capital Fund 1;"";"";"";"";""
AI Music;"";;Siavash;Mahdavi;;Groß-Britanien (UK)
APWine;Greenfield One III GmbH & Co. KG;"";"";"";"";""
APWine;"";;Jean;Chambras;mänlich;Frankreich
APWine;"";;Antoine;Mouran;"";Frankreich
APWine;"";;Ulysse;Ramage;"";Frankreich
APWine;"";;Gaspard;Peduzzi;"";Frankreich
Accure;42CAP II GmbH & Co. KG;"";"";"";"";""
Accure;"";;Kai-Philipp;Kairies;"";Deutschland
Accure;"";;Georg;Angenendt;;Deutschland
Accure;"";;Johannes;Palmer;;Deutschland
Advergame Technologies Pvt. Ltd. (Gamezop);BITKRAFT ESPORTS VENTURES I, L.P. (KY);"";"";"";"";""
Advergame Technologies Pvt. Ltd. (Gamezop);"";;Gaurav;Agarwal;;India
Advergame Technologies Pvt. Ltd. (Gamezop);"";;Yashash;Agarwal;;India
AirHelp Germany GmbH;Nordic Eye II SCSp;"";"";"";"";""
AirHelp Germany GmbH;"";;Henrik;Zillmer;"";Deutschland
AirHelp Germany GmbH;"";;Nicolas;Michaelsen;"";Deutschland
AirHelp Germany GmbH;"";;Greg;Roodt;"";Deutschland
Airobotics;Alpha Intelligence Capital Fund 1;"";"";"";"";""
Airobotics;"";;Meir;Kliner;;Israel
Airobotics;"";;Ran;Krauss;;Israel
AlphaPet;Reimann Investor Management GmbH & Co. 2016 KG;"";"";"";"";""
AlphaPet;"";;Marco;Hierling;;Deutschland
AlphaPet;"";;Stefan;Pfannmöller;;Deutschland
AlphaPet;Tech Co-Investors 1-2022 GmbH & Co. KG;"";"";"";"";""
AlphaPet;"";;Marco;Hierling;;Deutschland
AlphaPet;"";;Stefan;Pfannmöller;;Deutschland
Another Brain;Alpha Intelligence Capital Fund 1;"";"";"";"";""
Another Brain;"";;Bruno;Maisonnier;;Frankreich
Anzu Virtual Reality Ltd.;BITKRAFT ESPORTS VENTURES I, L.P. (KY);"";"";"";"";""
Anzu Virtual Reality Ltd.;"";;Ben;Fenster;;Israel
Anzu Virtual Reality Ltd.;"";;Itamar;Benedy;;Israel
Anzu Virtual Reality Ltd.;"";;Michael;Badichi;;Israel
Anzu Virtual Reality Ltd.;BITKRAFT Ventures Opportunity Fund I, L.P;"";"";"";"";""
Anzu Virtual Reality Ltd.;"";;Ben;Fenster;;Israel
Anzu Virtual Reality Ltd.;"";;Itamar;Benedy;;Israel
Anzu Virtual Reality Ltd.;"";;Michael;Badichi;;Israel
Apaleo;Redalpine Capital S.C.S., SICAR III;"";"";"";"";""
Apaleo;"";;Ulrich;Pillau;;Deutschland
Apaleo;"";;Martin;Reichenbach;;Deutschland
Apaleo;"";;Stephan;Wiesener;;Deutschland
Apaleo;"";;Philip;von Ditfurth;;Deutschland
Arcturus Studios Holdings, Inc;BITKRAFT Ventures Fund II, L.P.;"";"";"";"";""
Arcturus Studios Holdings, Inc;"";;Ewan;Johnson;"";Kanada
Arcturus Studios Holdings, Inc;"";;Andy;Stack;"";Kanada
Assetgro Fintech Pvt. Ltd. (StockGro);BITKRAFT Ventures Fund II, L.P.;"";"";"";"";""
Assetgro Fintech Pvt. Ltd. (StockGro);"";;Ajay;Lakhotia;"";India
Assetgro Fintech Pvt. Ltd. (StockGro);"";;Vijay Shankar;Lakhotia;"";India
BOOMTV;BITKRAFT ESPORTS VENTURES I, L.P. (KY);"";"";"";"";""
BOOMTV;"";;Sumit;Gupta;;Vereinigte Staaten von Amerika (USA)
BRINK;Greenfield One III GmbH & Co. KG;"";"";"";"";""
BRINK;"";;Andrew;Rollins;"";Vereinigte Staaten von Amerika (USA)
BRINK;"";;Michael;Calvanese;"";Vereinigte Staaten von Amerika (USA)
BULLETIN INC.;Nordic Eye II SCSp;"";"";"";"";""
BULLETIN INC.;"";;Alana;Branston;"";Vereinigte Staaten von Amerika (USA)
BULLETIN INC.;"";;Ali;Kriegsmann;"";Vereinigte Staaten von Amerika (USA)
Batou XYZ, SL.;Berlin Innovation Ventures 1 GmbH & Co KG;"";"";"";"";""
Batou XYZ, SL.;"";;Pol;Baladas;"";Spanien
Batou XYZ, SL.;"";;Oriol;Domingo;"";Spanien
Batou XYZ, SL.;"";;Oscar;Cuatrecasas;"";Spanien
