Startup;Fonds;Geschlecht;Titel;Vorname;Nachname;Land
011h;Redalpine Capital S.C.S., SICAR VI;Herr;;Alex;Valls;Spanien
011h;Redalpine Capital S.C.S., SICAR VI;Herr;;Jose Manuel;Villanueva;Spanien
011h;Redalpine Capital S.C.S., SICAR VI;Herr;;Jose;Ojeda;Spanien
011h;Redalpine Capital S.C.S., SICAR VI;Herr;;Josep;Barberà;Spanien
011h;Redalpine Capital S.C.S., SICAR VI;Herr;;Juan;Velayos;Spanien
011h;Redalpine Capital S.C.S., SICAR VI;Herr;;Lucas;Carne;Spanien
1UP Ventures L.P.;BITKRAFT Ventures Fund II, L.P.;"";"";"";"";""
36Zero Vision;Join Capital Fund II GmbH & Co KG;Herr;;Florian;Ziesche;Deutschland
36Zero Vision;Join Capital Fund II GmbH & Co KG;Herr;;Zeeshan;Karamat;Deutschland
555 Comic Co;BITKRAFT Ventures Fund II, L.P.;Herr;;Ben;Watanabe;Vereinigte Staaten von Amerika (USA)
57hours;Nordic Eye II SCSp;Herr;;Viktor;Marohnic;Vereinigte Staaten von Amerika (USA)
9fin Limited;Redalpine Capital S.C.S., SICAR VI;Herr;;Steven;Hunter;Groß-Britanien (UK)
9fin Limited;Redalpine Capital S.C.S., SICAR VI;Herr;;Huss;El-Sheikh;Groß-Britanien (UK)
ADG Technology Inc. (Carry1st);BITKRAFT Ventures Opportunity Fund I, L.P;Herr;;Cordel;Robbin-Coker;Südafrika
ADG Technology Inc. (Carry1st);BITKRAFT Ventures Opportunity Fund I, L.P;Frau;;Lucy;Hoffman;Südafrika
ADG Technology Inc. (Carry1st);BITKRAFT Ventures Opportunity Fund I, L.P;Herr;;Tinotenda;Mundangepfupfu;Südafrika
AI Music;Alpha Intelligence Capital Fund 1;;;Siavash;Mahdavi;Groß-Britanien (UK)
APWine;Greenfield One III GmbH & Co. KG;Herr;;Jean;Chambras;Frankreich
APWine;Greenfield One III GmbH & Co. KG;Herr;;Antoine;Mouran;Frankreich
APWine;Greenfield One III GmbH & Co. KG;Herr;;Ulysse;Ramage;Frankreich
APWine;Greenfield One III GmbH & Co. KG;Herr;;Gaspard;Peduzzi;Frankreich
Accure;42CAP II GmbH & Co. KG;Herr;;Kai-Philipp;Kairies;Deutschland
Accure;42CAP II GmbH & Co. KG;;;Georg;Angenendt;Deutschland
Accure;42CAP II GmbH & Co. KG;;;Johannes;Palmer;Deutschland
Advergame Technologies Pvt. Ltd. (Gamezop);BITKRAFT ESPORTS VENTURES I, L.P. (KY);;;Gaurav;Agarwal;India
Advergame Technologies Pvt. Ltd. (Gamezop);BITKRAFT ESPORTS VENTURES I, L.P. (KY);;;Yashash;Agarwal;India
AirHelp Germany GmbH;Nordic Eye II SCSp;Herr;;Henrik;Zillmer;Deutschland
AirHelp Germany GmbH;Nordic Eye II SCSp;Herr;;Nicolas;Michaelsen;Deutschland
AirHelp Germany GmbH;Nordic Eye II SCSp;Herr;;Greg;Roodt;Deutschland
Airobotics;Alpha Intelligence Capital Fund 1;;;Meir;Kliner;Israel
Airobotics;Alpha Intelligence Capital Fund 1;;;Ran;Krauss;Israel
AlphaPet;Tech Co-Investors 1-2022 GmbH & Co. KG;;;Marco;Hierling;Deutschland
AlphaPet;Tech Co-Investors 1-2022 GmbH & Co. KG;;;Stefan;Pfannmöller;Deutschland
AlphaPet;Tech Co-Investors 1-2022 GmbH & Co. KG;;;Marco;Hierling;Deutschland
AlphaPet;Tech Co-Investors 1-2022 GmbH & Co. KG;;;Stefan;Pfannmöller;Deutschland
Another Brain;Alpha Intelligence Capital Fund 1;;;Bruno;Maisonnier;Frankreich
Anzu Virtual Reality Ltd.;BITKRAFT Ventures Opportunity Fund I, L.P;;;Ben;Fenster;Israel
Anzu Virtual Reality Ltd.;BITKRAFT Ventures Opportunity Fund I, L.P;;;Itamar;Benedy;Israel
Anzu Virtual Reality Ltd.;BITKRAFT Ventures Opportunity Fund I, L.P;;;Michael;Badichi;Israel
Anzu Virtual Reality Ltd.;BITKRAFT Ventures Opportunity Fund I, L.P;;;Ben;Fenster;Israel
Anzu Virtual Reality Ltd.;BITKRAFT Ventures Opportunity Fund I, L.P;;;Itamar;Benedy;Israel
